raceId,driverId,stop,lap,duration,milliseconds,duration_seconds
841,153,1,1,26.898,26898,26.898
841,30,1,1,25.021,25021,25.021
841,17,1,11,23.426,23426,23.426
841,4,1,12,23.251,23251,23.251
841,13,1,13,23.842,23842,23.842
841,22,1,13,23.643,23643,23.643
841,20,1,14,22.603,22603,22.603
841,814,1,14,24.863,24863,24.863
841,816,1,14,25.259,25259,25.259
841,67,1,15,25.342,25342,25.342
841,2,1,15,22.994,22994,22.994
841,1,1,16,23.227,23227,23.227
841,808,1,16,24.535,24535,24.535
841,3,1,16,23.716,23716,23.716
841,155,1,16,24.064,24064,24.064
841,16,1,16,25.978,25978,25.978
841,15,1,16,24.899,24899,24.899
841,18,1,17,16.867,16867,16.867
841,153,2,17,24.463,24463,24.463
841,5,1,17,24.865,24865,24.865
841,30,2,17,23.988,23988,23.988
841,10,1,18,23.792,23792,23.792
841,18,2,19,23.303,23303,23.303
841,815,1,23,23.438,23438,23.438
841,22,2,23,37.856,37856,37.856
841,17,2,26,22.520,22520,22.52
841,4,2,27,24.733,24733,24.733
841,22,3,28,16.892,16892,16.892
841,67,2,29,23.100,23100,23.1
841,2,2,30,25.098,25098,25.098
841,13,2,31,24.500,24500,24.5
841,155,2,32,24.192,24192,24.192
841,20,2,36,24.036,24036,24.036
841,1,2,36,23.199,23199,23.199
841,153,3,35,26.348,26348,26.348
841,808,2,36,25.683,25683,25.683
841,814,2,36,24.332,24332,24.332
841,18,3,37,22.681,22681,22.681
841,16,2,37,23.871,23871,23.871
841,15,2,37,24.848,24848,24.848
841,816,2,38,26.446,26446,26.446
841,17,3,41,26.230,26230,26.23
841,22,4,40,26.309,26309,26.309
841,4,3,42,24.181,24181,24.181
841,13,3,48,24.095,24095,24.095
842,16,1,3,31.694,31694,31.694
842,22,1,3,32.978,32978,32.978
842,17,1,10,22.572,22572,22.572
842,814,1,11,22.773,22773,22.773
842,1,1,12,22.552,22552,22.552
842,20,1,13,23.019,23019,23.019
842,2,1,13,23.900,23900,23.9
842,18,1,13,22.400,22400,22.4
842,13,1,13,29.224,29224,29.224
842,15,1,13,25.516,25516,25.516
842,4,1,14,23.152,23152,23.152
842,30,1,14,22.576,22576,22.576
842,808,1,15,23.182,23182,23.182
842,67,1,15,23.280,23280,23.28
842,3,1,15,24.967,24967,24.967
842,5,1,15,29.084,29084,29.084
842,153,1,16,23.584,23584,23.584
842,16,2,16,22.046,22046,22.046
842,155,1,17,23.280,23280,23.28
842,815,1,17,23.597,23597,23.597
842,10,1,17,24.617,24617,24.617
842,816,1,17,26.252,26252,26.252
842,24,1,17,27.815,27815,27.815
842,22,2,17,24.502,24502,24.502
842,67,2,20,29.843,29843,29.843
842,17,2,22,21.991,21991,21.991
842,18,2,23,22.471,22471,22.471
842,1,2,24,22.611,22611,22.611
842,814,2,24,22.419,22419,22.419
842,20,2,25,21.893,21893,21.893
842,4,2,26,23.894,23894,23.894
842,2,2,26,23.221,23221,23.221
842,13,2,27,22.541,22541,22.541
842,808,2,27,22.680,22680,22.68
842,30,2,28,22.261,22261,22.261
842,3,2,29,22.577,22577,22.577
842,17,3,32,22.069,22069,22.069
842,153,2,32,22.888,22888,22.888
842,16,3,32,22.550,22550,22.55
842,67,3,32,27.439,27439,27.439
842,5,2,34,23.336,23336,23.336
842,10,2,34,24.429,24429,24.429
842,816,2,35,24.416,24416,24.416
842,155,2,36,23.442,23442,23.442
842,1,3,37,25.382,25382,25.382
842,814,3,37,23.977,23977,23.977
842,18,3,38,22.483,22483,22.483
842,13,3,38,22.893,22893,22.893
842,2,3,39,22.602,22602,22.602
842,24,2,38,26.554,26554,26.554
842,3,3,40,22.526,22526,22.526
842,20,3,41,22.313,22313,22.313
842,4,3,41,23.812,23812,23.812
842,30,3,42,22.227,22227,22.227
842,17,4,43,22.161,22161,22.161
842,808,3,44,28.694,28694,28.694
842,4,4,46,27.182,27182,27.182
842,24,3,44,38.823,38823,38.823
842,1,4,52,22.466,22466,22.466
843,153,1,9,22.419,22419,22.419
843,24,1,9,14.160,14160,14.16
843,30,1,10,20.522,20522,20.522
843,17,1,10,23.442,23442,23.442
843,813,1,10,23.160,23160,23.16
843,814,1,11,21.989,21989,21.989
843,3,1,12,20.771,20771,20.771
843,67,1,12,22.010,22010,22.01
843,18,1,14,23.779,23779,23.779
843,20,1,14,21.995,21995,21.995
843,155,1,14,21.855,21855,21.855
843,13,1,15,21.624,21624,21.624
843,1,1,15,20.878,20878,20.878
843,16,1,15,20.989,20989,20.989
843,4,1,16,22.524,22524,22.524
843,815,1,16,21.473,21473,21.473
843,22,1,16,21.709,21709,21.709
843,67,2,16,24.722,24722,24.722
843,10,1,16,22.683,22683,22.683
843,808,1,17,21.981,21981,21.981
843,2,1,18,22.216,22216,22.216
843,5,1,19,22.485,22485,22.485
843,15,1,20,23.029,23029,23.029
843,816,1,20,22.901,22901,22.901
843,24,2,21,24.467,24467,24.467
843,39,1,23,26.049,26049,26.049
843,18,2,24,20.758,20758,20.758
843,3,2,25,22.005,22005,22.005
843,1,2,25,20.533,20533,20.533
843,17,2,25,21.132,21132,21.132
843,813,2,25,22.062,22062,22.062
843,30,2,26,21.964,21964,21.964
843,10,2,28,21.908,21908,21.908
843,16,2,30,21.058,21058,21.058
843,155,2,30,21.936,21936,21.936
843,2,2,30,21.821,21821,21.821
843,20,2,31,21.533,21533,21.533
843,4,2,32,21.251,21251,21.251
843,814,2,32,21.218,21218,21.218
843,13,2,33,21.168,21168,21.168
843,67,3,33,21.928,21928,21.928
843,816,2,34,22.802,22802,22.802
843,22,2,35,21.481,21481,21.481
843,815,2,36,23.397,23397,23.397
