raceId,year,circuitId,race_name
337,2010,3,Bahrain Grand Prix
338,2010,1,Australian Grand Prix
339,2010,2,Malaysian Grand Prix
340,2010,17,Chinese Grand Prix
341,2010,4,Spanish Grand Prix
342,2010,6,Monaco Grand Prix
343,2010,5,Turkish Grand Prix
344,2010,7,Canadian Grand Prix
345,2010,12,European Grand Prix
346,2010,9,British Grand Prix
347,2010,10,German Grand Prix
348,2010,11,Hungarian Grand Prix
349,2010,13,Belgian Grand Prix
350,2010,14,Italian Grand Prix
351,2010,15,Singapore Grand Prix
352,2010,22,Japanese Grand Prix
353,2010,35,Korean Grand Prix
354,2010,18,Brazilian Grand Prix
355,2010,24,Abu Dhabi Grand Prix
841,2011,1,Australian Grand Prix
842,2011,2,Malaysian Grand Prix
843,2011,17,Chinese Grand Prix
844,2011,5,Turkish Grand Prix
845,2011,4,Spanish Grand Prix
846,2011,6,Monaco Grand Prix
847,2011,7,Canadian Grand Prix
848,2011,12,European Grand Prix
849,2011,9,British Grand Prix
850,2011,20,German Grand Prix
851,2011,11,Hungarian Grand Prix
852,2011,13,Belgian Grand Prix
853,2011,14,Italian Grand Prix
854,2011,15,Singapore Grand Prix
855,2011,22,Japanese Grand Prix
856,2011,35,Korean Grand Prix
857,2011,68,Indian Grand Prix
858,2011,24,Abu Dhabi Grand Prix
859,2011,18,Brazilian Grand Prix
860,2012,1,Australian Grand Prix
861,2012,2,Malaysian Grand Prix
862,2012,17,Chinese Grand Prix
863,2012,3,Bahrain Grand Prix
864,2012,4,Spanish Grand Prix
865,2012,6,Monaco Grand Prix
866,2012,7,Canadian Grand Prix
867,2012,12,European Grand Prix
868,2012,9,British Grand Prix
869,2012,10,German Grand Prix
870,2012,11,Hungarian Grand Prix
871,2012,13,Belgian Grand Prix
872,2012,14,Italian Grand Prix
873,2012,15,Singapore Grand Prix
874,2012,22,Japanese Grand Prix
875,2012,35,Korean Grand Prix
876,2012,68,Indian Grand Prix
877,2012,24,Abu Dhabi Grand Prix
878,2012,69,United States Grand Prix
879,2012,18,Brazilian Grand Prix
880,2013,1,Australian Grand Prix
881,2013,2,Malaysian Grand Prix
882,2013,17,Chinese Grand Prix
883,2013,3,Bahrain Grand Prix
884,2013,4,Spanish Grand Prix
885,2013,6,Monaco Grand Prix
886,2013,7,Canadian Grand Prix
887,2013,9,British Grand Prix
888,2013,20,German Grand Prix
890,2013,11,Hungarian Grand Prix
891,2013,13,Belgian Grand Prix
892,2013,14,Italian Grand Prix
893,2013,15,Singapore Grand Prix
894,2013,35,Korean Grand Prix
895,2013,22,Japanese Grand Prix
896,2013,68,Indian Grand Prix
897,2013,24,Abu Dhabi Grand Prix
898,2013,69,United States Grand Prix
899,2013,18,Brazilian Grand Prix
900,2014,1,Australian Grand Prix
901,2014,2,Malaysian Grand Prix
902,2014,3,Bahrain Grand Prix
903,2014,17,Chinese Grand Prix
