raceId,driverId,constructorId,grid,position,positionText,points,statusId
337,4,6,3,1,1,25.0,1
337,13,6,2,2,2,18.0,1
337,1,1,4,3,3,15.0,1
337,20,9,1,4,4,12.0,1
337,3,131,5,5,5,10.0,1
337,30,131,7,6,6,8.0,1
337,18,1,8,7,7,6.0,1
337,17,9,6,8,8,4.0,1
337,24,10,12,9,9,2.0,1
337,22,3,11,10,10,1.0,1
337,9,4,9,11,11,0.0,1
337,16,10,10,12,12,0.0,1
337,153,5,18,13,13,0.0,1
337,807,3,13,14,14,0.0,11
337,5,205,21,15,15,0.0,12
337,67,5,15,16,16,0.0,10
337,15,205,20,17,17,0.0,9
337,37,15,14,,R,0.0,9
337,811,164,23,,R,0.0,25
337,10,166,19,,R,0.0,6
337,808,4,17,,R,0.0,22
337,155,15,16,,R,0.0,9
337,810,166,22,,R,0.0,9
337,812,164,24,,R,0.0,3
338,18,1,4,1,1,25.0,1
338,9,4,9,2,2,18.0,1
338,13,6,5,3,3,15.0,1
338,4,6,3,4,4,12.0,1
338,3,131,6,5,5,10.0,1
338,1,1,11,6,6,8.0,1
338,24,10,13,7,7,6.0,1
338,22,3,8,8,8,4.0,1
338,17,9,2,9,9,2.0,1
338,30,131,7,10,10,1.0,1
338,153,5,17,11,11,0.0,1
338,37,15,14,12,12,0.0,1
338,5,205,19,13,13,0.0,12
338,812,164,22,14,14,0.0,15
338,10,166,23,,R,0.0,22
338,810,166,24,,R,0.0,9
338,20,9,1,,R,0.0,36
338,16,10,10,,R,0.0,5
338,808,4,18,,R,0.0,20
338,811,164,21,,R,0.0,9
338,67,5,12,,R,0.0,4
338,807,3,15,,R,0.0,4
338,155,15,16,,R,0.0,4
338,15,205,20,,W,0.0,9
339,20,9,3,1,1,25.0,1
339,17,9,1,2,2,18.0,1
339,3,131,2,3,3,15.0,1
339,9,4,6,4,4,12.0,1
339,16,10,4,5,5,10.0,1
339,1,1,20,6,6,8.0,1
339,13,6,21,7,7,6.0,1
339,18,1,17,8,8,4.0,1
339,153,5,14,9,9,2.0,1
339,807,3,5,10,10,1.0,1
339,67,5,13,11,11,0.0,1
339,22,3,7,12,12,0.0,11
339,4,6,19,13,13,0.0,5
339,810,166,24,14,14,0.0,13
339,812,164,22,15,15,0.0,13
339,811,164,23,16,16,0.0,14
339,15,205,18,17,17,0.0,15
339,5,205,15,,N,0.0,88
339,808,4,11,,R,0.0,6
339,24,10,10,,R,0.0,37
339,30,131,8,,R,0.0,36
339,155,15,9,,R,0.0,5
339,10,166,16,,R,0.0,20
339,37,15,12,,W,0.0,5
340,18,1,5,1,1,25.0,1
340,1,1,6,2,2,18.0,1
340,3,131,4,3,3,15.0,1
340,4,6,3,4,4,12.0,1
340,9,4,8,5,5,10.0,1
340,20,9,1,6,6,8.0,1
340,808,4,14,7,7,6.0,1
340,17,9,2,8,8,4.0,1
340,13,6,7,9,9,2.0,1
340,30,131,9,10,10,1.0,1
340,16,10,10,11,11,0.0,1
340,22,3,11,12,12,0.0,1
340,153,5,12,13,13,0.0,1
340,5,205,21,14,14,0.0,11
340,807,3,16,15,15,0.0,11
340,811,164,23,16,16,0.0,12
340,812,164,24,17,17,0.0,14
340,15,205,20,,R,0.0,9
340,810,166,22,,R,0.0,8
340,37,15,17,,R,0.0,39
340,67,5,13,,R,0.0,3
340,155,15,15,,R,0.0,3
340,24,10,18,,R,0.0,3
340,10,166,19,,W,0.0,5
341,17,9,1,1,1,25.0,1
341,4,6,4,2,2,18.0,1
341,20,9,2,3,3,15.0,1
341,30,131,6,4,4,12.0,1
341,18,1,5,5,5,10.0,1
341,13,6,9,6,6,8.0,1
341,16,10,11,7,7,6.0,1
341,9,4,7,8,8,4.0,1
341,22,3,17,9,9,2.0,11
341,153,5,15,10,10,1.0,11
341,808,4,19,11,11,0.0,11
341,155,15,10,12,12,0.0,11
341,3,131,8,13,13,0.0,11
341,1,1,3,14,14,0.0,29
341,24,10,16,15,15,0.0,5
341,807,3,13,16,16,0.0,12
341,15,205,18,17,17,0.0,13
341,10,166,22,18,18,0.0,13
341,810,166,23,19,19,0.0,14
341,67,5,14,,R,0.0,9
