constructorId,year,points_high,points_low,teammate_gap
1,2010,240.0,214.0,26.0
1,2011,270.0,227.0,43.0
1,2012,190.0,188.0,2.0
1,2013,73.0,49.0,24.0
1,2014,126.0,55.0,71.0
1,2015,16.0,11.0,5.0
1,2016,54.0,21.0,33.0
1,2017,17.0,13.0,4.0
1,2018,50.0,12.0,38.0
1,2019,96.0,49.0,47.0
1,2020,105.0,97.0,8.0
1,2021,160.0,114.0,46.0
1,2022,116.0,34.0,82.0
1,2023,184.0,82.0,102.0
1,2024,344.0,265.0,79.0
3,2010,47.0,22.0,25.0
3,2011,4.0,1.0,3.0
3,2012,45.0,31.0,14.0
3,2013,4.0,1.0,3.0
3,2014,186.0,134.0,52.0
3,2015,136.0,121.0,15.0
3,2016,85.0,53.0,32.0
3,2017,43.0,40.0,3.0
3,2018,6.0,1.0,5.0
3,2019,1.0,0.0,1.0
3,2020,0.0,0.0,0.0
3,2021,16.0,7.0,9.0
3,2022,4.0,2.0,2.0
3,2023,25.0,1.0,24.0
3,2024,12.0,0.0,12.0
4,2010,136.0,27.0,109.0
4,2011,37.0,34.0,3.0
4,2016,7.0,1.0,6.0
4,2017,43.0,8.0,35.0
4,2018,69.0,53.0,16.0
4,2019,54.0,37.0,17.0
4,2020,119.0,62.0,57.0
5,2010,8.0,5.0,3.0
5,2011,26.0,15.0,11.0
5,2012,16.0,10.0,6.0
5,2013,20.0,13.0,7.0
5,2014,22.0,8.0,14.0
5,2015,49.0,18.0,31.0
5,2016,46.0,4.0,42.0
5,2017,48.0,5.0,43.0
5,2018,29.0,4.0,25.0
5,2019,37.0,16.0,21.0
6,2010,252.0,144.0,108.0
6,2011,257.0,118.0,139.0
6,2012,278.0,122.0,156.0
6,2013,242.0,112.0,130.0
6,2014,161.0,55.0,106.0
6,2015,278.0,150.0,128.0
6,2016,212.0,186.0,26.0
6,2017,317.0,205.0,112.0
6,2018,320.0,251.0,69.0
6,2019,264.0,240.0,24.0
6,2020,98.0,33.0,65.0
6,2021,163.5,159.0,4.5
6,2022,291.0,228.0,63.0
6,2023,185.0,178.0,7.0
6,2024,327.0,262.0,65.0
9,2010,256.0,242.0,14.0
9,2011,392.0,258.0,134.0
9,2012,281.0,179.0,102.0
9,2013,397.0,199.0,198.0
9,2014,238.0,167.0,71.0
9,2015,95.0,92.0,3.0
9,2016,256.0,191.0,65.0
9,2017,200.0,168.0,32.0
9,2018,249.0,170.0,79.0
9,2019,278.0,63.0,215.0
9,2020,214.0,105.0,109.0
9,2021,388.5,190.0,198.5
9,2022,433.0,291.0,142.0
9,2023,530.0,260.0,270.0
9,2024,399.0,138.0,261.0
10,2010,47.0,21.0,26.0
10,2011,42.0,27.0,15.0
10,2012,63.0,46.0,17.0
10,2013,48.0,29.0,19.0
10,2014,96.0,59.0,37.0
10,2015,78.0,58.0,20.0
10,2016,101.0,72.0,29.0
10,2017,100.0,87.0,13.0
10,2018,62.0,49.0,13.0
15,2010,32.0,6.0,26.0
15,2011,30.0,14.0,16.0
15,2012,66.0,60.0,6.0
15,2013,51.0,6.0,45.0
15,2014,0.0,0.0,0.0
15,2015,27.0,9.0,18.0
15,2016,2.0,0.0,2.0
15,2017,5.0,0.0,5.0
15,2018,39.0,9.0,30.0
15,2024,4.0,0.0,4.0
51,2019,43.0,14.0,29.0
51,2020,4.0,4.0,0.0
51,2021,10.0,3.0,7.0
51,2022,47.0,6.0,41.0
51,2023,10.0,6.0,4.0
117,2021,43.0,34.0,9.0
117,2022,37.0,18.0,19.0
117,2023,198.0,68.0,130.0
117,2024,70.0,24.0,46.0
131,2010,142.0,72.0,70.0
131,2011,89.0,76.0,13.0
131,2012,93.0,49.0,44.0
131,2013,189.0,171.0,18.0
131,2014,384.0,317.0,67.0
131,2015,381.0,322.0,59.0
131,2016,385.0,380.0,5.0
131,2017,363.0,305.0,58.0
131,2018,408.0,247.0,161.0
131,2019,413.0,326.0,87.0
131,2020,347.0,223.0,124.0
131,2021,385.5,219.0,166.5
131,2022,262.0,233.0,29.0
131,2023,217.0,157.0,60.0
131,2024,226.0,207.0,19.0
164,2010,0.0,0.0,0.0
164,2011,0.0,0.0,0.0
164,2012,0.0,0.0,0.0
166,2010,0.0,0.0,0.0
166,2011,0.0,0.0,0.0
205,2010,0.0,0.0,0.0
205,2011,0.0,0.0,0.0
206,2012,0.0,0.0,0.0
206,2013,0.0,0.0,0.0
206,2014,2.0,0.0,2.0
207,2012,0.0,0.0,0.0
207,2013,0.0,0.0,0.0
207,2014,0.0,0.0,0.0
208,2012,207.0,96.0,111.0
208,2013,183.0,132.0,51.0
208,2014,8.0,2.0,6.0
208,2015,51.0,27.0,24.0
209,2015,0.0,0.0,0.0
209,2016,1.0,0.0,1.0
210,2016,29.0,0.0,29.0
210,2017,28.0,19.0,9.0
210,2018,56.0,37.0,19.0
210,2019,20.0,8.0,12.0
210,2020,2.0,1.0,1.0
210,2021,0.0,0.0,0.0
210,2022,21.0,12.0,9.0
210,2023,6.0,3.0,3.0
210,2024,36.0,14.0,22.0
211,2019,52.0,21.0,31.0
211,2020,125.0,75.0,50.0
213,2020,75.0,32.0,43.0
213,2021,110.0,32.0,78.0
213,2022,23.0,12.0,11.0
213,2023,14.0,0.0,14.0
214,2021,81.0,74.0,7.0
214,2022,89.0,81.0,8.0
214,2023,56.0,54.0,2.0
214,2024,40.0,23.0,17.0
215,2024,29.0,7.0,22.0
